game_id,season,week,start_time,venue,home_team,away_team,home_points,away_points,city,state,latitude,longitude,temperature,precipitation,wind_speed
401525434,2023,1,2023-08-26T18:30:00.000Z,Aviva Stadium,Notre Dame,Navy,42,3,Dublin,,53.33523,-6.228447,15.4,0.1,13.4
401540199,2023,1,2023-08-26T19:30:00.000Z,Cramton Bowl,Mercer,North Alabama,17,7,Montgomery,AL,32.37949,-86.293002,37.8,0.0,13.0
401520145,2023,1,2023-08-26T21:30:00.000Z,AmFirst Stadium,Jacksonville State,UTEP,17,14,Jacksonville,AL,33.8201052,-85.76647,37.3,0.0,6.8
401540628,2023,1,2023-08-26T23:00:00.000Z,Bob Ford Field,UAlbany,Fordham,34,13,Albany,NY,42.6808062,-73.8272841,22.9,0.0,9.2
401532392,2023,1,2023-08-26T23:00:00.000Z,Snapdragon Stadium,San Diego State,Ohio,20,13,San Diego,CA,32.784444,-117.122833,24.7,0.0,19.1
401525450,2023,1,2023-08-26T23:00:00.000Z,Aggie Memorial Stadium,New Mexico State,Massachusetts,30,41,Las Cruces,NM,32.2796202,-106.7411148,33.6,0.0,14.3
401539999,2023,1,2023-08-26T23:30:00.000Z,Center Parc Stadium,Jackson State,South Carolina State,37,7,Atlanta,GA,33.735267,-84.389949,33.5,0.0,6.0
401520147,2023,1,2023-08-26T23:30:00.000Z,FirstBank Stadium,Vanderbilt,Hawai'i,35,28,Nashville,TN,36.1440455,-86.8088942,32.9,0.1,13.7
401523986,2023,1,2023-08-27T00:00:00.000Z,Los Angeles Memorial Coliseum,USC,San José State,56,28,Los Angeles,CA,34.014167,-118.287778,25.6,0.0,16.9
401520146,2023,1,2023-08-27T01:00:00.000Z,Joe Aillet Stadium,Louisiana Tech,Florida International,22,17,Ruston,LA,32.5321487,-92.6560019,32.9,0.0,5.9
401540527,2023,1,2023-08-31T04:00:00.000Z,Jayne Stadium,Morehead State,West Virginia State,37,35,Morehead,KY,38.1916481,-83.4253315,16.9,0.0,14.5
401540244,2023,1,2023-08-31T04:00:00.000Z,Provost Umphrey Stadium,Lamar,Idaho,17,42,Beaumont,TX,30.04313,-94.069963,28.1,0.0,11.0
401540288,2023,1,2023-08-31T04:00:00.000Z,Memorial Stadium (Commerce TX),East Texas A&M,UC Davis,10,48,Commerce,TX,33.2442615,-95.9006353,28.7,0.0,11.3
401545743,2023,1,2023-08-31T04:00:00.000Z,Ralph F. DellaCamera Stadium,New Haven,Frostburg State,24,27,West Haven,CT,41.2706527,-72.9470471,19.8,0.0,17.7
401540607,2023,1,2023-08-31T04:00:00.000Z,Fifth Third Stadium,Kennesaw State,Greeneville,38,7,Kennesaw,GA,34.0289318,-84.5676234,21.1,0.0,9.8
401550265,2023,1,2023-08-31T04:00:00.000Z,Charles A. Henry Field,Hiram College,Heidelberg,14,68,Hiram,OH,41.312555,-81.14371,13.8,0.0,9.5
401553950,2023,1,2023-08-31T18:00:00.000Z,Hantz Stadium,Northwood (MI),Glenville State,9,44,Midland,MI,43.6155825,-84.2472117,20.7,0.0,2.6
401540470,2023,1,2023-08-31T22:00:00.000Z,Buccaneer Field,Charleston Southern,North Greenville,13,10,North Charleston,SC,32.9810239,-80.0659664,27.7,0.0,12.6
401549697,2023,1,2023-08-31T22:00:00.000Z,Keiser Multi-Purpose Field,Keiser University,Mississippi College,14,17,West Palm Beach,FL,,,,,
401540802,2023,1,2023-08-31T22:00:00.000Z,Harvey Randall Wickes Memorial Stadium,Saginaw Valley State,Winona State,34,24,University Center,MI,25.71414555,-80.27640498387049,30.2,0.8,11.6
401544917,2023,1,2023-08-31T22:00:00.000Z,Irwin Belk Stadium,Wingate,Albany State GA,30,7,Wingate,NC,34.9843176,-80.4492319,26.7,0.0,6.5
401550193,2023,1,2023-08-31T22:00:00.000Z,Richard Wackar Stadium,Rowan,Stevenson,17,20,Glassboro,NJ,39.7027677,-75.1119434,25.9,0.0,13.5
401540990,2023,1,2023-08-31T22:00:00.000Z,Grace P. Johnson Stadium,UNC Pembroke,Fayetteville State,19,17,Pembroke,NC,34.6801627,-79.1950373,26.7,0.0,11.6
401545860,2023,1,2023-08-31T22:00:00.000Z,Multi-Sport Performance Stadium,Alderson-Broaddus,PennWest California,0,0,Philippi,WV,39.1523198,-80.0403578,21.7,0.0,8.6
401541838,2023,1,2023-08-31T22:00:00.000Z,Electric Supply Company Field,Wilson,Chowan,41,0,Wilson,NC,35.7212689,-77.9155395,26.0,0.0,14.3
401541949,2023,1,2023-08-31T23:00:00.000Z,Gable Field at Doc Wadley Stadium,Northeastern State,Fort Hays State,0,56,Tahlequah,OK,35.91537,-94.969956,31.6,0.0,9.5
401550240,2023,1,2023-08-31T23:00:00.000Z,Taylor Field,Lakeland,Wisconsin-Platteville,13,80,Plymouth,WI,43.7486054,-87.977038,18.8,0.0,10.7
401545835,2023,1,2023-08-31T23:00:00.000Z,"Memorial Stadium (Wayne, NE)",Wayne State (NE),Minnesota State Moorhead,31,23,Wayne,NE,42.1941294,-97.169623,28.2,0.0,31.4
401547053,2023,1,2023-08-31T23:00:00.000Z,Alumni Stadium (KY),Kentucky State,Clark Atlanta,34,20,Frankfort,KY,38.2009055,-84.8732836,25.4,0.0,11.9
401541855,2023,1,2023-08-31T23:00:00.000Z,Seibert Stadium,Samford,Shorter,69,14,Homewood,AL,33.463273,-86.795326,28.9,0.0,8.7
401545791,2023,1,2023-08-31T23:00:00.000Z,Chryst Field at Biemesderfer Stadium,Millersville,St. Anselm,33,7,Millersville,PA,39.997998,-76.3545372,23.0,0.0,13.0
401541881,2023,1,2023-08-31T23:00:00.000Z,University Stadium (GA),West Georgia,Limestone,21,19,Carrollton,GA,33.5801103,-85.0766113,29.8,0.0,4.4
401541012,2023,1,2023-08-31T23:00:00.000Z,University of Charleston Stadium,University Of Charleston (WV),Gannon,22,13,Charleston,WV,38.3505995,-81.6332812,22.2,0.0,6.9
401541833,2023,1,2023-08-31T23:00:00.000Z,Tom Benson Hall of Fame Stadium,Walsh,West Liberty,24,21,Canton,OH,40.7985464,-81.3749508,21.5,0.0,10.8
401531834,2023,1,2023-08-31T23:00:00.000Z,Center Parc Stadium,Georgia State,Rhode Island,42,35,Atlanta,GA,33.735267,-84.389949,28.3,0.0,7.7
401540311,2023,1,2023-08-31T23:00:00.000Z,Barker-Lane Stadium,Campbell,William & Mary,24,34,Buies Creek,NC,35.4047689,-78.7424842,24.7,0.0,7.9
401540534,2023,1,2023-08-31T23:00:00.000Z,Paladin Stadium,Furman,Tennessee Tech,45,10,Greenville,SC,34.920192,-82.4370917,26.1,0.0,8.7
401525816,2023,1,2023-08-31T23:00:00.000Z,FBC Mortgage Stadium,UCF,Kent State,56,6,Orlando,FL,28.6079765,-81.1927233,26.7,0.2,4.4
401525461,2023,1,2023-08-31T23:00:00.000Z,Allegacy Federal Credit Union Stadium,Wake Forest,Elon,37,17,Winston-Salem,NC,36.1305507,-80.2545851,24.4,0.0,7.9
401541801,2023,1,2023-08-31T23:00:00.000Z,George P. Miller Stadium,Indiana-Pennsylvania,Ashland,24,17,Indiana,PA,40.6214551,-79.1525349,19.3,0.0,9.5
401541033,2023,1,2023-08-31T23:00:00.000Z,Burke-Tarr Stadium,Carson-Newman College,Virginia University Of Lynchburg,35,3,Jefferson City,TN,36.122311,-83.4923961,24.8,0.0,8.6
401545810,2023,1,2023-08-31T23:00:00.000Z,Chet Anderson Stadium,Bemidji State,Northern State,49,13,Bemidji,MN,47.4785418,-94.8907869,25.8,0.0,21.2
401545751,2023,1,2023-08-31T23:00:00.000Z,QU Stadium,Quincy,Chadron St,34,35,Quincy,IL,39.9356016,-91.4098727,23.8,0.0,9.2
401558399,2023,1,2023-08-31T23:00:00.000Z,Wildcat Field,Louisiana College,East Texas Baptist University,34,14,Pineville,LA,31.3224044,-92.4343035,34.1,0.0,14.0
401545779,2023,1,2023-08-31T23:00:00.000Z,Bishop Schmitt Field,Wheeling,Seton Hill,35,24,Wheeling,WV,40.0639616,-80.7209149,22.9,0.0,8.4
401541751,2023,1,2023-08-31T23:00:00.000Z,Southern Nazarene University Football Stadium,Southern Nazarene,Harding University,20,53,Bethany,OK,35.5186728,-97.6322648,32.5,0.0,12.4
401540775,2023,1,2023-08-31T23:00:00.000Z,Ranger Field,Northwestern Oklahoma State,Arkansas-Monticello,24,49,Alva,OK,36.8030501,-98.6660278,32.1,0.0,16.0
