metric,value
row_count,1784.0
missing_game_id,0.0
missing_season,0.0
missing_week,0.0
missing_start_time,0.0
missing_venue,14.0
missing_home_team,0.0
missing_away_team,0.0
missing_home_points,0.0
missing_away_points,0.0
missing_latitude,29.0
missing_longitude,29.0
missing_temperature,29.0
missing_precipitation,29.0
missing_wind_speed,29.0
min_total_points,0.0
max_total_points,127.0
min_temperature_c,9.5
max_temperature_c,42.0
min_wind_speed,0.0
max_wind_speed,33.0
min_precipitation,0.0
max_precipitation,8.6
